type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase
DDR4-1.3333333,60,70,54629402098.95053,95.2246325103468,61.904761904761905
DDR4-1.3333333,60,80,51545187406.29685,94.53779289493575,60.0
DDR4-1.3333333,60,90,47624146326.83658,92.7444583275487,60.95238095238095
DDR4-1.3333333,60,100,36564121139.43029,90.3753660404559,57.61904761904761
DDR4-1.3333333,60,120,32817712743.628185,89.765708915145,55.238095238095234
DDR4-1.3333333,60,140,30887551424.287857,89.16820061357876,55.238095238095234
DDR4-1.3333333,60,160,28679321139.430286,88.81120240303913,56.19047619047619
DDR4-1.3333333,60,180,26692471364.317844,88.73138086403392,54.285714285714285
DDR4-1.3333333,60,200,25241945427.286358,87.52721088435374,54.76190476190476
DDR4-1.3333333,60,220,24125572413.793106,87.91226684222075,53.80952380952381
DDR4-1.3333333,60,260,21977590404.797604,87.50641025641025,54.76190476190476
DDR4-1.3333333,60,300,20064623688.155922,87.06105117206117,52.38095238095238
DDR4-1.3333333,60,340,18798402398.800602,86.89332293426925,52.38095238095238
DDR4-1.3333333,60,380,17507799700.14993,86.54081632653062,53.33333333333333
DDR4-1.3333333,60,450,15590131334.332834,85.78286912249176,51.42857142857142
DDR4-1.3333333,60,550,13602341229.385307,85.73841612116544,52.38095238095238
DDR4-1.3333333,60,600,12746439580.209894,85.27227891156463,52.857142857142854
DDR4-1.3333333,60,700,11411036881.559221,84.78493260658301,50.95238095238095
DDR4-1.3333333,60,800,10229243778.110945,84.8410444923311,50.95238095238095
DDR4-1.3333333,60,900,9521981409.295351,84.67084970634215,51.42857142857142
DDR4-1.3333333,60,1000,8639817691.154423,84.15965398505081,50.476190476190474
DDR4-1.3333333,60,2000,5060788005.997003,82.30694205393,47.61904761904762
DDR4-1.3333333,60,10000,1800865967.0164917,76.77463120079493,43.33333333333333
DDR4-1.3333333,70,0,108572967916.04199,202.26200480192074,180.0
DDR4-1.3333333,70,5,106228255472.26387,166.86120789779326,140.95238095238093
DDR4-1.3333333,70,10,101456686056.97153,145.17281806339557,117.61904761904762
DDR4-1.3333333,70,15,90489149025.48726,122.93430164858735,90.95238095238095
DDR4-1.3333333,70,20,84384057571.2144,115.09689590121762,82.85714285714285
DDR4-1.3333333,70,25,79278671064.46777,109.6138231292517,78.09523809523809
DDR4-1.3333333,70,30,77077761919.04048,108.17006802721087,76.66666666666666
DDR4-1.3333333,70,35,74927093253.37332,105.94895322470073,73.80952380952381
DDR4-1.3333333,70,40,70962394002.9985,103.24902082044939,69.52380952380952
DDR4-1.3333333,70,45,61146895352.323845,97.42507288629737,64.76190476190476
DDR4-1.3333333,70,50,59655532233.883064,96.74424663482414,62.857142857142854
DDR4-1.3333333,70,55,58023992803.598206,96.30252946248922,62.857142857142854
DDR4-1.3333333,70,60,56914202098.95052,96.12436523905336,61.904761904761905
DDR4-1.3333333,70,65,55170226086.95653,94.69723167044594,61.904761904761905
DDR4-1.3333333,70,70,53267132833.58321,94.64299886621315,63.80952380952381
DDR4-1.3333333,70,80,50158133733.13343,93.5500885285621,60.476190476190474
DDR4-1.3333333,70,90,46023772113.94302,92.3002849788564,59.52380952380952
DDR4-1.3333333,70,100,37458844977.511246,89.9314804869316,56.666666666666664
DDR4-1.3333333,70,120,31992103148.42579,89.24276377217554,55.238095238095234
DDR4-1.3333333,70,140,29967371514.24288,89.06220265884131,54.76190476190476
DDR4-1.3333333,70,160,27992880359.82009,88.57911476278822,54.76190476190476
DDR4-1.3333333,70,180,26106914542.728638,87.71585557299842,54.76190476190476
DDR4-1.3333333,70,200,24729197001.499252,87.81926706166338,53.80952380952381
DDR4-1.3333333,70,220,23683886056.97151,87.55895691609976,54.76190476190476
DDR4-1.3333333,70,260,21584196701.649178,87.57779522065236,54.76190476190476
DDR4-1.3333333,70,300,19779703748.12594,86.94869795051778,53.33333333333333
DDR4-1.3333333,70,340,18504549325.337334,85.82231634792281,53.33333333333333
DDR4-1.3333333,70,380,17302001799.10045,86.48066821665374,53.33333333333333
DDR4-1.3333333,70,450,15404752023.988007,85.85855474265178,52.38095238095238
DDR4-1.3333333,70,550,13461023088.455772,85.61707953621699,51.42857142857142
DDR4-1.3333333,70,600,12666578710.644678,84.82841086745258,50.476190476190474
DDR4-1.3333333,70,700,11346422788.605698,85.1266581632653,50.476190476190474
DDR4-1.3333333,70,800,10228840779.610195,84.56547090886043,50.95238095238095
DDR4-1.3333333,70,900,9438359220.389805,84.19148400100781,51.42857142857142
DDR4-1.3333333,70,1000,8592196701.649178,84.16906021667927,50.476190476190474
